ID_kit_api_CAM_meta,cupule,cupule_Name_Kit,name_bacdive,reaction_name,external_Link,ID_microbiol,substrate,ID_CHEBI,CAS,kegg_comp,brenda_ligand,enzyme,EC_number,tf_api_enzyme,tf_api_met_util,tf_api_met_prod,tf_api_met_test,tf_api_met_antibiotica,tf_api_spore_formation,tf_api_cell_morphology,tf_api_colony_morphology,tf_api_culture_medium,last_change
1,1,URE,URE,"Urease/urea hydrolysis",http://www.brenda-enzymes.org/enzyme.php?ecno=3.5.1.5,URE_CAM,Urea,16199,57-13-6,C00086,116,Urease,3.5.1.5,26,168,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
2,2,NIT,NIT,"Reduction of nitrate",NULL,NIT_CAM,"Potassium nitrate",63043,7757-79-1,NULL,32713,NULL,NULL,NULL,169,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
3,3,EST,EST,Esterase,NULL,EST_CAM,"5-bromo-4-chloro-3-indolyl acetate ",NULL,"3252-36-6 ",NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
4,4,HIP,HIP,"Hippuric acid",http://www.genome.jp/dbget-bin/www_bget?cpd:C01586,HIP_CAM,"Hippuric acid (N-benzoylglycine)",18089,495-69-2,C01586,6000,NULL,NULL,NULL,170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
5,5,GGT,GGT,"gamma-Glutamyl transferase",http://www.brenda-enzymes.org/enzyme.php?ecno=2.3.2.2,GGT_CAM,gamma-L-glutamyl-4-methoxy-2-naphthylamine,NULL,24723-50-0,NULL,NULL,gamma-glutamyltransferase,2.3.2.2,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
6,6,TTC,TTC,"Reduction of Triphenyl tetrazolium chloride",http://www.genome.jp/dbget-bin/www_bget?cpd:C11305,TTC_CAM,"2,3,5-triphenyltetrazolium chloride",78019,298-96-4,C11305,49467,NULL,NULL,NULL,171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
7,7,PYRA,PYRA,"Pyrrolidonyl arylamidase",http://www.brenda-enzymes.org/enzyme.php?ecno=3.4.19.3,PYRA_CAM,"L-pyroglutamic acid 2-naphthylamide ",NULL,22155-91-5,NULL,161451,"pyroglutamyl-peptidase I",3.4.19.3,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
8,8,ArgA,ArgA,"L-arginine arylamidase",NULL,ArgA_CAM,"L-arginine-4-methoxy beta-naphthylamide",NULL,"61876-75-3 ",NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
9,9,AspA,AspA,"L-aspartic acid arylamidase",NULL,AspA_CAM,"L-aspartic acid beta-naphthylamide ",NULL,"635-91-6 ",NULL,130461,NULL,NULL,31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
10,10,PAL,PAL,"Alkaline phosphatase",http://www.brenda-enzymes.org/enzyme.php?ecno=3.1.3.1,PAL_CAM,"2-naphthyl phosphate",NULL,"14463-68-4 ",NULL,3239,"alkaline phosphatase",3.1.3.1,32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
11,11,H2S,H2S,"H2S production",NULL,H2S_CAM,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
12,12,GLU,GLU,"Assimilation of D-glucose",http://www.genome.jp/dbget-bin/www_bget?cpd:C00031,GLU_CAM,D-glucose,17634,50-99-7,C00031,35,NULL,NULL,NULL,172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
13,13,SUT,SUT,"Assimilation of succinate",http://www.genome.jp/dbget-bin/www_bget?cpd:C00042,SUT_CAM,"Sodium succinate",63675,150-90-3,"C00042 ",30411,NULL,NULL,NULL,173,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
14,14,NAL,NAL,"Growth inhibition",http://www.genome.jp/dbget-bin/www_bget?cpd:C05079,NAL_CAM,"Nalidixic acid",100147,0389-08-02,C05079,2148,NULL,NULL,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
15,15,CFZ,CFZ,"Growth inhibition",http://www.genome.jp/dbget-bin/www_bget?cpd:C08098,CFZ_CAM,"Cefazolin sodium",3483,27164-46-1,C08098,1488,NULL,NULL,NULL,NULL,NULL,NULL,2,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
16,16,ACE,ACE,"Assimilation of acetate",http://www.genome.jp/dbget-bin/www_bget?cpd:C00033,ACE_CAM,"Sodium acetate",32954,0127-09-03,"C00033 ",1803,NULL,NULL,NULL,174,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
17,17,PROP,PROP,"Assimilation of propionic acid",http://www.genome.jp/dbget-bin/www_bget?cpd:C00163,PROP_CAM,"Propionic acid",30768,1979-09-04,C00163,1724,NULL,NULL,NULL,175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
18,18,MLT,MLT,"Assimilation of malic acid",http://www.genome.jp/dbget-bin/www_bget?cpd:C00711,MLT_CAM,"Malic acid",6650,6915-15-7,C00711,15837,NULL,NULL,NULL,176,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
19,19,CIT,CIT,"Assimilation of citric acid",http://www.genome.jp/dbget-bin/www_bget?cpd:C00158,CIT_CAM,"Citric acid",30769,77-92-9,C00158,1714,NULL,NULL,NULL,177,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
20,20,ERO,ERO,"Erythromycin resistance (+) sensitivity (-)",NULL,ERO_CAM,Erythromycin,48923,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
21,21,CAT,CAT,Catalase,http://www.brenda-enzymes.org/enzyme.php?ecno=1.11.1.6,CAT_CAM,NULL,NULL,NULL,NULL,NULL,catalase,1.11.1.6,33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"2016-03-22 14:49:06"
