CHEBI_ID	substrate	KEGG_ID	CAS_RN_ID	EC_ID	enzyme	pseudo_CURIE	reaction_name
CHEBI:16828	L-tryptophan	kegg.compound:C00078	CAS-RN:73-22-3	EC:4.1.99.1	tryptophanase	API_20A:IND	Indole production
CHEBI:16199	Urea	kegg.compound:C00086	CAS-RN:57-13-6	EC:3.5.1.5	Urease	API_20A:URE	Urease/urea hydrolysis
CHEBI:17634	D-glucose	kegg.compound:C00031	CAS-RN:50-99-7			API_20A:GLU	Acid from D-glucose
CHEBI:16899	D-mannitol	kegg.compound:C00392	CAS-RN:69-65-8			API_20A:MAN	Acid from D-mannitol
CHEBI:17716	D-lactose (lactose)	kegg.compound:C00243	CAS-RN:63-42-3			API_20A:LAC	Acid from lactose
CHEBI:17992	D-saccharose (sucrose)	kegg.compound:C00089	CAS-RN:57-50-1			API_20A:SAC	Acid from sucrose
CHEBI:17306	D-maltose (maltose)	kegg.compound:C00208	CAS-RN:69-79-4			API_20A:MAL	Acid from maltose
CHEBI:17814	Salicin	kegg.compound:C01451	CAS-RN:138-52-3			API_20A:SAL	Acid from salicin
CHEBI:65327	D-xylose	kegg.compound:C00181	CAS-RN:58-86-6			API_20A:XYL	Acid from D-xylose
CHEBI:30849	L-arabinose	kegg.compound:C00259	CAS-RN:147-81-9			API_20A:ARA	Acid from L-arabinose
CHEBI:5291	Gelatin	kegg.compound:C01498	CAS-RN:9000-70-8			API_20A:GEL	Gelatinase/gelatin hydrolysis
CHEBI:4853	Esculin ferric citrate	kegg.compound:C09264	CAS-RN:531-75-9	EC:3.2.1.21	beta-glucosidase	API_20A:ESC	Esculin hydrolysis/beta-glucosidase
CHEBI:17754	Glycerol	kegg.compound:C00116	CAS-RN:56-81-5			API_20A:GLY	Acid from glycerol
CHEBI:17057	D-cellobiose (cellobiose)	kegg.compound:C00185	CAS-RN:528-50-7			API_20A:CEL	Acid from cellobiose
CHEBI:16024	D-mannose	kegg.compound:C00159	CAS-RN:3458-28-4			API_20A:MNE	Acid from D-mannose
CHEBI:6731	D-melezitose (melezitose)	kegg.compound:C08243	CAS-RN:0597-12-06			API_20A:MLZ	Acid from melezitose
CHEBI:16634	D-raffinose (raffinose)	kegg.compound:C00492	CAS-RN:512-69-6			API_20A:RAF	Acid from raffinose
CHEBI:17924	D-sorbitol (D-glucitol)	kegg.compound:C00794	CAS-RN:50-70-4			API_20A:SOR	Acid from sorbitol
CHEBI:62345	L-rhamnose	kegg.compound:C00507	CAS-RN:73-34-7			API_20A:RHA	Acid from L-rhamnose
CHEBI:16551	D-trehalose (trehalose)	kegg.compound:C01083	CAS-RN:99-20-7			API_20A:TRE	Acid from trehalose
				EC:1.11.1.6	catalase	API_20A:CAT	Catalase
						API_20A:SPOR	Spores present
						API_20A:GRAM	Gram
						API_20A:COCC	"Morphology coccus=+"" rod=""-"""""
CHEBI:16199	Urea	kegg.compound:C00086	CAS-RN:57-13-6	EC:3.5.1.5	Urease	API_rID32A:URE	Urease/urea hydrolysis
CHEBI:16467	L-arginine	kegg.compound:C00062	CAS-RN:74-79-3 	EC:3.5.3.6	arginine deiminase	API_rID32A:ADH (Arg)	Arginine dihydrolase
CHEBI:54684	4-Nitrophenyl-alpha-D-galactoside		CAS-RN:7493-95-0	EC:3.2.1.22	alpha-galactosidase	API_rID32A:alpha GAL	alpha-Galactosidase
CHEBI:355715	4-Nitrophenyl-beta-D-galactoside	kegg.compound:C04452	CAS-RN:3150-24-1	EC:3.2.1.23	beta-galactosidase	API_rID32A:beta GAL	beta-Galactosidase
CHEBI:90128	4-Nitrophenyl 6-O-phosphono-beta-D-galactosid					API_rID32A:beta GP	beta-Galactosidase 6-phosphate
	4-Nitrophenyl alpha-D-glucopyranoside 		CAS-RN:3767-28-0 	EC:3.2.1.20	alpha-glucosidase	API_rID32A:alpha GLU	alpha-Glucosidase
	4-Nitrophenyl beta-D-glucopyranoside		CAS-RN:2492-87-7	EC:3.2.1.21	beta-glucosidase	API_rID32A:beta GLU	beta-Glucosidase
	4-Nitrophenyl alpha-L-arabinofuranoside 		CAS-RN:6892-58-6	EC:3.2.1.55	non-reducing end alpha-L-arabinofuranosidase	API_rID32A:alpha ARA	alpha-Arabinosidase
	4-Nitrophenyl beta-D-glucuronide 		CAS-RN:10344-94-2	EC:3.2.1.31	beta-glucuronidase	API_rID32A:beta GUR	beta-Glucuronidase
	4-Nitrophenyl N-acetyl-beta-D-glucosaminide		CAS-RN:3459-18-5	EC:3.2.1.52	beta-N-acetylhexosaminidase	API_rID32A:beta NAG	beta-N-Acetyl-beta-glucosaminidase
CHEBI:16024	D-mannose	kegg.compound:C00159	CAS-RN:3458-28-4			API_rID32A:MNE	Fermentation of D-mannose
CHEBI:16634	D-raffinose (raffinose)	kegg.compound:C00492	CAS-RN:512-69-6			API_rID32A:RAF	Fermentation of raffinose
CHEBI:16015	L-glutamic acid	kegg.compound:C00025	CAS-RN:56-86-0	EC:4.1.1.15	Glutamat decarboxylase	API_rID32A:GDC	Glutamate decarboxylase
	4-Nitrophenyl alpha-L-fucopyranoside 		CAS-RN:10231-84-2	EC:3.2.1.51	alpha-L-fucosidase	API_rID32A:alpha FUC	alpha-Fucosidase
CHEBI:63043	Potassium nitrate		CAS-RN:7757-79-1			API_rID32A:NIT	Reduction of nitrate
CHEBI:16828	L-tryptophan	kegg.compound:C00078	CAS-RN:73-22-3	EC:4.1.99.1	tryptophanase	API_rID32A:IND	Indole production
	2-naphthyl phosphate		CAS-RN:14463-68-4 	EC:3.1.3.1	alkaline phosphatase	API_rID32A:PAL	Alkaline phosphatase
	L-arginine beta-naphthylamide hydrochloride		CAS-RN:18905-73-2			API_rID32A:ArgA	L-arginine arylamidase
	L-proline beta-naphthylamide		CAS-RN:97216-16-5	EC:3.4.11.5	prolyl aminopeptidase	API_rID32A:ProA	Proline arylamidase
	Leu-Gly beta-naphthylamide		CAS-RN:100930-00-5	EC:3.4.11.1	leucyl aminopeptidase	API_rID32A:LGA	Leucyl glycin arylamidase
	L-phenylalanine beta-naphthylamide 		CAS-RN:740-57-8			API_rID32A:PheA	Phenylalanine arylamidase
	L-Leucine beta-naphthylamide		CAS-RN:732-85-4			API_rID32A:LeuA	Leucine arylamidase
	L-pyroglutamic acid 2-naphthylamide 		CAS-RN:22155-91-5	EC:3.4.19.3	pyroglutamyl-peptidase I	API_rID32A:PyrA	Pyrrolidonyl arylamidase
	L-tyrosine beta-naphthylamide 		CAS-RN:4357-95-3			API_rID32A:TyrA	Tyrosine arylamidase
	L-alanine-L-alanine beta-naphthylamide 					API_rID32A:AlaA	Alanine arylamidase
	Glycine beta-naphthylamide		CAS-RN:1208-12-04			API_rID32A:GlyA	Glycin arylamidase
	L-histidine beta-naphthylamide		CAS-RN:7424-15-9			API_rID32A:HisA	Histidine arylamidase
	L-glutamy-L-glutamate beta-naphthylamide					API_rID32A:GGA	Glutamyl-glutamate arylamidase
	L-serine beta-naphthylamide		CAS-RN:888-74-4			API_rID32A:SerA	Serine arylamidase
CHEBI:16199	Urea	kegg.compound:C00086	CAS-RN:57-13-6	EC:3.5.1.5	Urease	API_CAM:URE	Urease/urea hydrolysis
CHEBI:63043	Potassium nitrate		CAS-RN:7757-79-1			API_CAM:NIT	Reduction of nitrate
	5-bromo-4-chloro-3-indolyl acetate 		CAS-RN:3252-36-6 			API_CAM:EST	Esterase
CHEBI:18089	Hippuric acid (N-benzoylglycine)	kegg.compound:C01586	CAS-RN:495-69-2			API_CAM:HIP	Hippuric acid
	gamma-L-glutamyl-4-methoxy-2-naphthylamine		CAS-RN:24723-50-0	EC:2.3.2.2	gamma-glutamyltransferase	API_CAM:GGT	gamma-Glutamyl transferase
CHEBI:78019	2,3,5-triphenyltetrazolium chloride	kegg.compound:C11305	CAS-RN:298-96-4			API_CAM:TTC	Reduction of Triphenyl tetrazolium chloride
	L-pyroglutamic acid 2-naphthylamide 		CAS-RN:22155-91-5	EC:3.4.19.3	pyroglutamyl-peptidase I	API_CAM:PYRA	Pyrrolidonyl arylamidase
	L-arginine-4-methoxy beta-naphthylamide		CAS-RN:61876-75-3 			API_CAM:ArgA	L-arginine arylamidase
	L-aspartic acid beta-naphthylamide 		CAS-RN:635-91-6 			API_CAM:AspA	L-aspartic acid arylamidase
	2-naphthyl phosphate		CAS-RN:14463-68-4 	EC:3.1.3.1	alkaline phosphatase	API_CAM:PAL	Alkaline phosphatase
						API_CAM:H2S	H2S production
CHEBI:17634	D-glucose	kegg.compound:C00031	CAS-RN:50-99-7			API_CAM:GLU	Assimilation of D-glucose
CHEBI:63675	Sodium succinate	kegg.compound:C00042 	CAS-RN:150-90-3			API_CAM:SUT	Assimilation of succinate
CHEBI:100147	Nalidixic acid	kegg.compound:C05079	CAS-RN:0389-08-02			API_CAM:NAL	Growth inhibition
CHEBI:3483	Cefazolin sodium	kegg.compound:C08098	CAS-RN:27164-46-1			API_CAM:CFZ	Growth inhibition
CHEBI:32954	Sodium acetate	kegg.compound:C00033 	CAS-RN:0127-09-03			API_CAM:ACE	Assimilation of acetate
CHEBI:30768	Propionic acid	kegg.compound:C00163	CAS-RN:1979-09-04			API_CAM:PROP	Assimilation of propionic acid
CHEBI:665	Malic acid	kegg.compound:C00711	CAS-RN:6915-15-7			API_CAM:MLT	Assimilation of malic acid
CHEBI:30769	Citric acid	kegg.compound:C00158	CAS-RN:77-92-9			API_CAM:CIT	Assimilation of citric acid
CHEBI:48923	Erythromycin					API_CAM:ERO	Erythromycin resistance (+) sensitivity (-)
				EC:1.11.1.6	catalase	API_CAM:CAT	Catalase
CHEBI:90426	L-cystyl-2-naphthylamide		CAS-RN:65322-97-6		Cystine arylamidase	API_zym:Cystine arylamidase	
	N-benzoyl-DL-arginine-2-naphthylamide		CAS-RN:0913-04-02	EC:3.4.21.4	Trypsin	API_zym:Trypsin	
	N-glutaryl-phenylalanine-2-naphthylamide			EC:3.4.21.1	alpha-Chymotrypsin	API_zym:alpha- Chymotrypsin	
	2-naphthyl phosphate		CAS-RN:14463-68-4 	EC:3.1.3.2	Acid phosphatase	API_zym:Acid phosphatase	
	Naphthol-AS-BI-phosphate		CAS-RN:1919-91-1		Naphthol-AS-BI-phosphohydrolase	API_zym:Naphthol-AS-BI-phosphohydrolase	
	6-Br-2-naphthyl-alphaD-galactpyranoside		CAS-RN:25997-59-5	EC:3.2.1.22	alpha-Galactosidase	API_zym:alpha- Galactosidase	
	2-naphthyl-betaD-galactpyranoside		CAS-RN:312693-81-5	EC:3.2.1.23	beta-Galactosidase	API_zym:beta- Galactosidase	
	Naphthol-AS-BI-betaD-glucuronide		CAS-RN:37-87-6 	EC:3.2.1.31	beta-Glucuronidase	API_zym:beta- Glucuronidase	
	2-naphthyl-alphaD-glucopyranoside		CAS-RN:25320-79-0	EC:3.2.1.20	alpha-Glucosidase	API_zym:alpha- Glucosidase	
	6-Br-2-naphthyl-betaD-glucopyranoside		CAS-RN: 15548-61-5 	EC:3.2.1.21	beta-Glucosidase	API_zym:beta- Glucosidase	
	1-naphthyl-N-acetyl-betaD-glucosaminide		CAS-RN:10329-98-3	EC:3.2.1.52	N-acetyl-beta-glucosaminidase	API_zym:N-acetyl-beta- glucosaminidase	
	6-Br-2-naphthyl-alphaD-mannopyranoside		CAS-RN:15548-61-5	EC:3.2.1.24	alpha-Mannosidase	API_zym:alpha- Mannosidase	
	2-naphthyl-alphaL-fucopyranoside			EC:3.2.1.51	alpha-Fucosidase	API_zym:alpha- Fucosidase	
	L-leucyl-2-naphthylamide		CAS-RN:732-85-4		Leucine arylamidase	API_zym:Leucine arylamidase	
	L-valyl-2-naphthylamide		CAS-RN:729-24-8 		Valine arylamidase	API_zym:Valine arylamidase	
	2-naphthyl myristate		CAS-RN:7262-80-8	EC:3.1.1.3	Lipase (C 14)	API_zym:Lipase (C 14)	
	2-naphtyl caprylate		CAS-RN:10251-17-9		Esterase Lipase (C 8)	API_zym:Esterase Lipase (C 8)	
	2-naphthyl butyrate		CAS-RN:5856-33-7	EC:3.1.1.1	Esterase (C 4)	API_zym:Esterase (C 4)	
					Control	API_zym:Control	
	2-naphthyl phosphate		CAS-RN:14463-68-4 	EC:3.1.3.1	Alkaline phosphatase	API_zym:Alkaline phosphatase	
CHEBI:15729	L-ornithine	kegg.compound:C00077	CAS-RN:70-26-8 	EC:4.1.1.17	ornithine decarboxylase	API_ID32E:ODC	Ornithine decarboxylase
CHEBI:16467	L-arginine	kegg.compound:C00062	CAS-RN:74-79-3 	EC:3.5.3.6	arginine deiminase	API_ID32E:ADH (Arg)	Arginine dihydrolase
CHEBI:18019	L-lysine	kegg.compound:C00047	CAS-RN:56-87-1 	EC:4.1.1.18	Lysine decarboxylase	API_ID32E:LDC (Lys)	Lysine decarboxylase
CHEBI:16199	Urea	kegg.compound:C00086	CAS-RN:57-13-6	EC:3.5.1.5	Urease	API_ID32E:URE	Urease/urea hydrolysis
CHEBI:18403	L-arabitol (L-arabinitol)	kegg.compound:C00532	CAS-RN:7643-75-6			API_ID32E:LARL	Acid from L-arabitol
CHEBI:18024	D-galacturonic acid	kegg.compound:C00333	CAS-RN:685-73-4			API_ID32E:GAT	Acid from D-galacturonic acid
CHEBI:17426	5-Ketogluconate (5-dehydro-D-gluconate)	kegg.compound:C01062				API_ID32E:5KG	Acid from 5-Ketogluconate
	5-bromo-3-indoxyl-nonanoate		CAS-RN:133950-70-6			API_ID32E:LIP	Lipase
CHEBI:50144	Sodium pyruvate		CAS-RN:113-24-6			API_ID32E:RP	Phenol red (Acidification)
	4-Nitrophenyl beta-D-glucopyranoside		CAS-RN:2492-87-7	EC:3.2.1.21	beta-glucosidase	API_ID32E:beta GLU	beta-Glucosidase
CHEBI:16899	D-mannitol	kegg.compound:C00392	CAS-RN:69-65-8			API_ID32E:MAN	Acid from D-mannitol
CHEBI:17306	D-maltose (maltose)	kegg.compound:C00208	CAS-RN:69-79-4			API_ID32E:MAL	Acid from maltose
CHEBI:15963	D-adonitol (D-ribitol)	kegg.compound:C00474	CAS-RN:488-81-3			API_ID32E:ADO	Acid from D-adonitol
CHEBI:18394	Palatinose (6-O-alpha-D-glucopyranosyl-D-fruc	kegg.compound:C01742	CAS-RN:13718-94-0			API_ID32E:PLE	Acid from palatinose
	4-Nitrophenyl beta-D-glucuronide 		CAS-RN:10344-94-2 	EC:3.2.1.31	beta-glucuronidase	API_ID32E:beta GUR	beta-Glucuronidase
CHEBI:62983	Sodium malonate	kegg.compound:C00383	CAS-RN:141-95-7			API_ID32E:MNT	Malonate
CHEBI:16828	L-tryptophan	kegg.compound:C00078	CAS-RN:73-22-3	EC:4.1.99.1	tryptophanase	API_ID32E:IND	Indole production
CHEBI:355715	5-Bromo-4-chloro-3-indolyl N-acetyl-beta-D-gl	kegg.compound:C04452	CAS-RN:4264-82-8 			API_ID32E:beta NAG	N-Acetyl-beta-Glucosaminidase
CHEBI:355715	4-Nitrophenyl-beta-D-galactoside	kegg.compound:C04452	CAS-RN:3150-24-1	EC:3.2.1.23	beta-galactosidase	API_ID32E:beta GAL	beta-Galactosidase
CHEBI:17634	D-glucose	kegg.compound:C00031	CAS-RN:50-99-7			API_ID32E:GLU	Acid from D-glucose
CHEBI:17992	D-saccharose (sucrose)	kegg.compound:C00089	CAS-RN:57-50-1			API_ID32E:SAC	Acid from sucrose
CHEBI:30849	L-arabinose	kegg.compound:C00259	CAS-RN:147-81-9			API_ID32E:LARA	Acid from L-arabinose
CHEBI:18333	D-arabitol	kegg.compound:C01904	CAS-RN:488-82-4 			API_ID32E:DARL	Acid from D-arabitol
CHEBI:54684	4-Nitrophenyl alpha-D-glucopyranoside 		CAS-RN:3767-28-0 	EC:3.2.1.20	alpha-glucosidase	API_ID32E:alpha GLU	alpha-Glucosidase
CHEBI:54684	4-Nitrophenyl-alpha-D-galactoside	kegg.compound:C01083	CAS-RN:7493-95-0	EC:3.2.1.22	alpha-galactosidase	API_ID32E:alpha GAL	alpha-Galactosidase
CHEBI:16551	D-trehalose (trehalose)	kegg.compound:C01083	CAS-RN:99-20-7			API_ID32E:TRE	Acid from trehalose
CHEBI:62345	L-rhamnose	kegg.compound:C00507	CAS-RN:73-34-7			API_ID32E:RHA	Acid from L-rhamnose
CHEBI:17268	Inositol (myo-inositol)	kegg.compound:C00137	CAS-RN:87-89-8			API_ID32E:INO	Acid from inositol
CHEBI:17057	D-cellobiose (cellobiose)	kegg.compound:C00185	CAS-RN:528-50-7			API_ID32E:CEL	Acid from cellobiose
CHEBI:17924	D-sorbitol (D-glucitol)	kegg.compound:C00794	CAS-RN:50-70-4			API_ID32E:SOR	Acid from sorbitol
	4-Nitrophenyl alpha-D-maltoside 		CAS-RN:17400-77-0 			API_ID32E:alphaMAL	alpha-Maltosidase
	L-aspartic acid 4-nitroanilide					API_ID32E:AspA	L-aspartic acid arylamidase
CHEBI:50144	sodium pyruvate		CAS-RN:113-24-6			API_20STR:VP	Acetoin production (Voges Proskauer test)
CHEBI:18089	Hippuric acid (N-benzoylglycine)	kegg.compound:C01586	CAS-RN:495-69-2			API_20STR:HIP	Hippuric acid hydrolysis
CHEBI:4853	Esculin ferric citrate	kegg.compound:C09264	CAS-RN:531-75-9	EC:3.2.1.21	beta-glucosidase	API_20STR:ESC	Esculin hydrolysis/beta-glucosidase
	L-pyroglutamic acid 2-naphthylamide 		CAS-RN:22155-91-5	EC:3.4.19.3	pyroglutamyl-peptidase I	API_20STR:PYRA	Pyrrolidonyl arylamidase
	6-Bromo-2-naphthyl-alpha-D-galactopyranoside		CAS-RN:25997-59-5	EC:3.2.1.22	alpha-galactosidase	API_20STR:alpha GAL	alpha-Galactosidase
	Naphthol AS-BI beta-D-glucuronide		CAS-RN:37-87-6 	EC:3.2.1.31	beta-glucuronidase	API_20STR:beta GUR	beta-Glucuronidase
	2-Naphthyl-beta-D-galactopyranoside		CAS-RN:312693-81-5	EC:3.2.1.62	glycosylceramidase	API_20STR:beta GAL	beta-Galactosidase
	2-naphthyl phosphate		CAS-RN:14463-68-4 	EC:3.1.3.1	alkaline phosphatase	API_20STR:PAL	Alkaline phosphatase
	L-leucine beta-naphthylamide		CAS-RN:732-85-4	EC:3.3.2.6	leukotriene-A4 hydrolase	API_20STR:LAP	Leucine arylamidase
CHEBI:16467	L-arginine	kegg.compound:C00062	CAS-RN:74-79-3 	EC:3.5.3.6	arginine deiminase	API_20STR:ADH	Arginine dihydrolase
CHEBI:16988	D-ribose	kegg.compound:C00121	CAS-RN:50-69-1			API_20STR:RIB	Acid from D-ribose
CHEBI:30849	L-arabinose	kegg.compound:C00259	CAS-RN:147-81-9			API_20STR:ARA	Acid from L-arabinose
CHEBI:16899	D-mannitol	kegg.compound:C00392	CAS-RN:69-65-8			API_20STR:MAN	Acid from D-mannitol
CHEBI:17924	D-sorbitol (D-glucitol)	kegg.compound:C00794	CAS-RN:50-70-4			API_20STR:SOR	Acid from D-sorbitol
CHEBI:17716	D-lactose (lactose)	kegg.compound:C00243	CAS-RN:63-42-3			API_20STR:LAC	Acid from lactose
CHEBI:16551	D-trehalose (trehalose)	kegg.compound:C01083	CAS-RN:99-20-7			API_20STR:TRE	Acid from trehalose
CHEBI:15443	Inulin	kegg.compound:C03323	CAS-RN:9005-80-5 			API_20STR:INU	Acid from inulin
CHEBI:16634	D-raffinose (raffinose)	kegg.compound:C00492	CAS-RN:512-69-6			API_20STR:RAF	Acid from raffinose
CHEBI:28017	Amidon (starch)	kegg.compound:C00369	CAS-RN:9005-25-8			API_20STR:AMD	Acid from starch
CHEBI:28087	Glycogen	kegg.compound:C00182	CAS-RN:9005-79-2			API_20STR:GLYG	Acid from glycogen
						API_20STR:beta HEM	beta hemolysis present
	Naphthol AS-BI beta-D-glucuronide		CAS-RN:37-87-6 	EC:3.2.1.31	beta-glucuronidase	API_coryne:beta GUR	beta-Glucuronidase
	2-naphthyl phosphate		CAS-RN:14463-68-4 	EC:3.1.3.1	alkaline phosphatase	API_coryne:PAL	Alkaline phosphatase
	L-pyroglutamic acid 2-naphthylamide 		CAS-RN:22155-91-5	EC:3.4.19.3	pyroglutamyl-peptidase I	API_coryne:PYRA	Pyrrolidonyl arylamidase
CHEBI:45285	Pyrazinecarboxamide	kegg.compound:C01956	CAS-RN:98-96-4	EC:3.5.1.B15	pyrazinamidase	API_coryne:PYZ	Pyrazinamidase
CHEBI:63043	Potassium nitrate		CAS-RN:7757-79-1			API_coryne:NIT	Reduction of nitrate
	2-Naphthyl-beta-D-galactopyranoside		CAS-RN:312693-81-5	EC:3.2.1.62	glycosylceramidase	API_coryne:beta GAL	beta-Galactosidase
	2-Naphthyl alpha-D-glucopyranoside		CAS-RN:25320-79-0	EC:3.2.1.20	alpha-glucosidase	API_coryne:alpha GLU	alpha-Glucosidase
	1-Naphthyl-N-acetyl-beta-D-glucosaminide		CAS-RN:10329-98-3			API_coryne:beta NAG	N-Acetyl-beta-Glucosidase
CHEBI:4853	Esculin ferric citrate	kegg.compound:C09264	CAS-RN:531-75-9	EC:3.2.1.21	beta-glucosidase	API_coryne:ESC	Esculin hydrolysis/beta-Glucosidase
CHEBI:16199	Urea	kegg.compound:C00086	CAS-RN:57-13-6	EC:3.5.1.5	Urease	API_coryne:URE	Urease/urea hydrolysis
CHEBI:5291	Gelatin	kegg.compound:C01498	CAS-RN:9000-70-8			API_coryne:GEL	Gelatinase/gelatin hydrolysis
	Control					API_coryne:Control	Control fermentation
CHEBI:17634	D-glucose	kegg.compound:C00031	CAS-RN:50-99-7			API_coryne:GLU	Fermentation of D-glucose
CHEBI:16988	D-ribose	kegg.compound:C00121	CAS-RN:50-69-1			API_coryne:RIB	Fermentation of D-ribose
CHEBI:65327	D-xylose	kegg.compound:C00181	CAS-RN:58-86-6			API_coryne:XYL	Fermentation of D-xylose
CHEBI:16899	D-mannitol	kegg.compound:C00392	CAS-RN:69-65-8			API_coryne:MAN	Fermentation of D-mannitol
CHEBI:17306	D-maltose (maltose)	kegg.compound:C00208	CAS-RN:69-79-4			API_coryne:MAL	Fermentation of maltose
CHEBI:17716	D-lactose (lactose)	kegg.compound:C00243	CAS-RN:63-42-3			API_coryne:LAC	Fermentation of lactose
CHEBI:17992	D-saccharose (sucrose)	kegg.compound:C00089	CAS-RN:57-50-1			API_coryne:SAC	Fermentation of sucrose
CHEBI:28087	Glycogen	kegg.compound:C00182	CAS-RN:9005-79-2			API_coryne:GLYG	Fermentation of glycogen
				EC:1.11.1.6	catalase	API_coryne:CAT	Catalase
CHEBI:16199	Urea	kegg.compound:C00086	CAS-RN:57-13-6	EC:3.5.1.5	Urease	API_ID32STA:URE	Urease/urea hydrolysis
CHEBI:16467	L-arginine	kegg.compound:C00062	CAS-RN:74-79-3 	EC:3.5.3.6	arginine deiminase	API_ID32STA:ADH (Arg)	Arginine dihydrolase
CHEBI:15729	L-ornithine	kegg.compound:C00077	CAS-RN:70-26-8 	EC:4.1.1.17	ornithine decarboxylase	API_ID32STA:ODC	Ornithine decarboxylase
CHEBI:4853	Esculin ferric citrate	kegg.compound:C09264	CAS-RN:531-75-9	EC:3.2.1.21	beta-glucosidase	API_ID32STA:ESC	Esculin hydrolysis
CHEBI:17634	D-glucose	kegg.compound:C00031	CAS-RN:50-99-7			API_ID32STA:GLU	Fermentation of D-glucose
CHEBI:15824	D-fructose	kegg.compound:C00095	CAS-RN:57-48-7 			API_ID32STA:FRU	Fermentation of D-fructose
CHEBI:16024	D-mannose	kegg.compound:C00159	CAS-RN:3458-28-4			API_ID32STA:MNE	Fermentation of D-mannose
CHEBI:17306	D-maltose (maltose)	kegg.compound:C00208	CAS-RN:69-79-4			API_ID32STA:MAL	Fermentation of maltose
CHEBI:17716	D-lactose (lactose)	kegg.compound:C00243	CAS-RN:63-42-3			API_ID32STA:LAC	Fermentation of lactose
CHEBI:16551	D-trehalose (trehalose)	kegg.compound:C01083	CAS-RN:99-20-7			API_ID32STA:TRE	Fermentation of trehalose
CHEBI:16899	D-mannitol	kegg.compound:C00392	CAS-RN:69-65-8			API_ID32STA:MAN	Fermentation of D-mannitol
CHEBI:16634	D-raffinose (raffinose)	kegg.compound:C00492	CAS-RN:512-69-6			API_ID32STA:RAF	Fermentation of raffinose
CHEBI:16988	D-ribose	kegg.compound:C00121	CAS-RN:50-69-1			API_ID32STA:RIB	Fermentation of D-ribose
CHEBI:17057	D-cellobiose (cellobiose)	kegg.compound:C00185	CAS-RN:528-50-7			API_ID32STA:CEL	Fermentation of cellobiose
CHEBI:63043	Potassium nitrate		CAS-RN:7757-79-1			API_ID32STA:NIT	Reduction of nitrate
CHEBI:50144	sodium pyruvate		CAS-RN:113-24-6			API_ID32STA:VP	Acetoin production (Voges Proskauer test)
